GeneSymbol	Description	Organism	Chromosome	Locus	TCGA-AF-2691-01A.41	TCGA-AF-2692-01A.41	TCGA-AF-3400-01A.41	TCGA-AF-3913-01A.12	TCGA-AG-3574-01A.22	TCGA-AG-3580-01A.22	TCGA-AG-3584-01A.22	TCGA-AG-3593-01A.22	TCGA-AG-3594-01A.12	TCGA-AG-4007-01A.22	TCGA-AG-A002-01A.23	TCGA-AG-A008-01A.23	TCGA-AG-A00C-01A.23	TCGA-AG-A00H-01A.22	TCGA-AG-A00H-01A.31	TCGA-AG-A00Y-01A.12	TCGA-AG-A011-01A.32	TCGA-AG-A014-01A.12	TCGA-AG-A015-01A.51	TCGA-AG-A016-01A.23	TCGA-AG-A01J-01A.22	TCGA-AG-A01L-01A.22	TCGA-AG-A01N-01A.23	TCGA-AG-A01W-01A.23	TCGA-AG-A01Y-01A.43	TCGA-AG-A020-01A.23	TCGA-AG-A026-01A.71	TCGA-AG-A02N-01A.31	TCGA-AG-A02X-01A.32	TCGA-AG-A032-01A.31	TCGA-AG-A036-01A.22
LUC7L	LUC7-like (S. cerevisiae)	Homo sapiens	16	16p13.3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
LUC7L3	LUC7-like 3 (S. cerevisiae)	Homo sapiens	17	17q21.33	4	5	2	3	5	6	7	6	5	3	5	3	5	3	6	8	3	4	6	4	3	3	10	4	0	2	8	5	2	6	2
LUM	lumican	Homo sapiens	12	12q21.3-q22	6	71	77	62	36	17	39	24	30	37	17	26	27	77	25	32	26	34	17	29	155	52	17	13	88	22	20	15	35	19	52
LUZP1	leucine zipper protein 1	Homo sapiens	1	1p36	0	2	0	1	1	1	0	0	1	1	0	0	1	1	2	1	0	0	0	1	0	0	1	0	0	1	1	3	1	0	0
LXN	latexin	Homo sapiens	3	3q25.32	1	7	4	2	9	1	0	1	4	3	3	4	2	4	4	4	3	4	1	2	7	0	2	3	4	2	1	4	2	1	5
LY75	lymphocyte antigen 75	Homo sapiens	2	2q24	4	2	0	0	0	3	2	0	7	3	0	0	7	0	4	11	1	1	1	1	0	6	5	0	0	0	2	0	0	8	2
LYAR	Ly1 antibody reactive	Homo sapiens	4	4p16.3	2	3	1	2	0	4	3	1	1	2	2	2	5	0	3	2	2	1	1	1	1	1	4	2	0	4	12	1	2	1	0
LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	Homo sapiens	8	8q13	0	3	8	2	0	2	6	1	7	1	1	1	1	10	7	5	1	3	6	0	4	0	12	2	1	1	6	4	1	1	2
LYPLA1	lysophospholipase I	Homo sapiens	8	8q11.23	2	6	7	5	13	4	6	7	5	4	5	6	4	6	5	6	5	5	8	5	5	4	9	4	3	4	8	8	4	4	5
LYPLA2	lysophospholipase II	Homo sapiens	1	1p36.11	0	6	6	3	3	4	4	5	4	2	3	1	2	5	5	5	2	7	7	1	6	3	7	4	3	0	6	3	0	2	5
LYPLAL1	lysophospholipase-like 1	Homo sapiens	1	1q41	0	4	0	0	2	1	2	3	2	2	2	0	4	1	1	2	2	2	3	1	1	0	7	0	1	0	5	0	1	1	0
LYRM4	LYR motif containing 4	Homo sapiens	6	6p25.1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	2	0	0	1	1	0	0	1	0	0	0	1	1	1	0	1
LYRM7	LYR motif containing 7	Homo sapiens	5	5q23.3	1	0	1	0	0	1	0	0	0	1	1	1	1	0	2	1	0	1	1	1	1	1	0	1	0	0	0	0	1	0	1
LYSMD2	LysM, putative peptidoglycan-binding, domain containing 2	Homo sapiens	15	15q21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYZ	lysozyme	Homo sapiens	12	12q15	7	17	89	57	2	42	6	24	73	13	32	34	4	120	21	26	29	53	46	8	30	5	56	11	11	14	21	13	6	8	17
LZIC	leucine zipper and CTNNBIP1 domain containing	Homo sapiens	1	1p36.22	1	3	0	0	2	1	1	1	1	0	0	0	0	0	1	1	1	1	1	2	1	0	0	1	1	1	0	2	1	1	0
LZTFL1	leucine zipper transcription factor-like 1	Homo sapiens	3	3p21.3	2	3	2	3	2	0	0	3	4	2	5	0	6	1	4	5	2	2	2	5	0	0	3	1	1	2	1	3	1	1	5
M6PR	mannose-6-phosphate receptor (cation dependent)	Homo sapiens	12	12p13	0	3	2	0	0	3	2	2	3	1	1	2	1	2	2	2	3	10	5	0	1	0	1	0	2	1	3	1	1	1	1
MACC1	metastasis associated in colon cancer 1	Homo sapiens	7	7p21.1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0
MACF1	microtubule-actin crosslinking factor 1	Homo sapiens	1	1p32-p31	9	19	3	13	14	4	4	3	8	14	10	9	9	8	13	8	4	9	8	13	4	4	12	2	7	7	6	12	3	1	12
MACROD1	MACRO domain containing 1	Homo sapiens	11	11q11	0	5	0	7	4	4	0	6	2	3	2	4	3	3	4	1	4	8	2	3	2	5	3	4	2	4	4	4	1	0	2
MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast)	Homo sapiens	7	7p22	2	0	0	0	0	0	1	3	0	1	1	0	0	0	1	0	0	1	0	1	0	0	3	1	0	0	1	1	0	0	0
MADD	MAP-kinase activating death domain	Homo sapiens	11	11p11.2	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
MAGEA10	melanoma antigen family A, 10	Homo sapiens	X	Xq28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MAGED1	melanoma antigen family D, 1	Homo sapiens	X	Xp11.23	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	1	0	3	1	0	0	0	1	0	0	0	1	0	0	0	0
MAGED2	melanoma antigen family D, 2	Homo sapiens	X	Xp11.2	0	1	1	1	3	0	0	2	1	0	1	1	1	0	1	2	0	2	1	0	0	1	1	0	0	0	2	1	0	2	0
MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	Homo sapiens	3	3p14.1	1	0	0	0	1	1	1	1	2	1	1	0	0	1	1	1	0	2	1	3	0	0	1	3	1	0	0	2	0	1	0
MAGOHB	mago-nashi homolog B (Drosophila)	Homo sapiens	12	12p13.2	2	4	3	0	3	1	3	2	3	2	2	6	3	3	3	5	6	4	3	4	3	2	5	1	1	5	1	3	0	1	3
MAGT1	magnesium transporter 1	Homo sapiens	X	Xq21.1	3	7	2	0	1	4	1	1	2	2	3	3	4	6	3	6	4	4	5	2	2	5	7	2	2	1	6	6	2	0	2
MAK16	MAK16 homolog (S. cerevisiae)	Homo sapiens	8	8p12	1	1	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	1	0
MAL2	mal, T-cell differentiation protein 2 (gene/pseudogene)	Homo sapiens	8	8q23	3	1	3	1	3	0	4	2	4	2	4	1	2	1	4	5	2	2	1	2	0	1	1	0	0	2	1	3	1	2	1
MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	Homo sapiens	18	18q21	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0
MAN1A1	mannosidase, alpha, class 1A, member 1	Homo sapiens	6	6q22	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0
MAN1B1	mannosidase, alpha, class 1B, member 1	Homo sapiens	9	9q34	0	0	1	1	2	0	1	1	3	2	2	0	3	2	2	2	3	1	1	1	0	0	0	1	0	1	0	1	0	0	0
MAN2A1	mannosidase, alpha, class 2A, member 1	Homo sapiens	5	5q21.3	3	5	3	4	4	4	12	9	13	4	5	11	7	5	12	6	6	1	7	6	3	3	3	4	1	3	5	5	2	9	1
MAN2B1	mannosidase, alpha, class 2B, member 1	Homo sapiens	19	19p13.2	0	0	0	0	12	0	0	0	1	0	0	1	0	2	3	6	2	2	0	0	0	2	0	3	1	1	2	0	0	1	0
MAN2C1	mannosidase, alpha, class 2C, member 1	Homo sapiens	15	15q24.2	1	1	1	0	1	0	0	0	1	1	0	1	0	1	0	2	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1
MANBA	mannosidase, beta A, lysosomal	Homo sapiens	4	4q24	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MANF	mesencephalic astrocyte-derived neurotrophic factor	Homo sapiens	3	3p21.1	11	16	11	12	9	8	7	20	15	11	20	13	6	12	18	18	14	19	13	9	8	7	10	7	17	5	6	13	4	10	10
MANSC1	MANSC domain containing 1	Homo sapiens	12	12p13.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAOA	monoamine oxidase A	Homo sapiens	X	Xp11.3	13	9	1	14	0	7	17	6	26	10	3	26	7	19	32	15	17	27	6	21	28	27	19	22	6	11	13	8	6	9	13
MAOB	monoamine oxidase B	Homo sapiens	X	Xp11.23	0	2	0	0	22	0	1	0	1	0	2	1	0	1	1	1	1	7	2	1	2	2	0	1	15	1	0	0	0	0	2
MAP1A	microtubule-associated protein 1A	Homo sapiens	15	15q15.3	0	4	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	4	0	0	0	0	0	2
MAP1B	microtubule-associated protein 1B	Homo sapiens	5	5q13	0	2	1	1	70	0	1	0	1	0	0	0	0	3	1	1	0	0	0	0	1	0	1	0	13	0	0	0	0	0	5
MAP1S	microtubule-associated protein 1S	Homo sapiens	19	19p13.11	4	8	5	7	6	4	7	3	7	5	2	4	3	4	8	12	2	6	4	6	5	3	6	2	3	4	7	3	0	1	4
MAP2K1	mitogen-activated protein kinase kinase 1	Homo sapiens	15	15q22.1-q22.33	0	6	7	5	7	3	3	3	8	0	3	1	1	5	3	2	3	4	2	2	3	4	2	1	3	3	3	3	1	1	1
MAP2K2	mitogen-activated protein kinase kinase 2	Homo sapiens	19	19p13.3	0	3	1	6	3	4	6	3	5	1	3	6	1	4	6	6	3	2	2	0	3	4	2	3	2	2	5	2	2	1	1
MAP2K3	mitogen-activated protein kinase kinase 3	Homo sapiens	17	17q11.2	0	2	0	6	1	3	3	4	5	2	3	2	1	5	2	4	1	2	4	2	2	2	1	3	0	2	3	4	1	3	2
MAP2K4	mitogen-activated protein kinase kinase 4	Homo sapiens	17	17p12	0	3	0	3	3	1	2	1	2	0	0	1	1	2	3	2	3	1	3	4	1	2	1	2	2	1	1	0	0	1	2
MAP2K6	mitogen-activated protein kinase kinase 6	Homo sapiens	17	17q24.3	0	0	1	0	0	0	1	0	1	2	0	0	1	1	1	1	0	0	0	0	2	2	5	0	1	0	2	1	0	0	1
MAP3K1	mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase	Homo sapiens	5	5q11.2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP4	microtubule-associated protein 4	Homo sapiens	3	3p21	8	32	5	12	60	7	8	31	9	13	8	14	20	4	29	36	16	14	23	26	15	16	26	7	47	8	23	16	9	17	21
MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	Homo sapiens	2	2q11.2-q12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP7	microtubule-associated protein 7	Homo sapiens	6	6q23.3	2	2	1	2	1	1	0	0	3	1	1	5	4	0	5	3	0	0	9	1	1	3	5	1	0	5	5	6	6	1	3
MAP7D1	MAP7 domain containing 1	Homo sapiens	1	1p34.3	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0
MAPK1	mitogen-activated protein kinase 1	Homo sapiens	22	22q11.21	1	5	2	2	3	3	3	2	3	2	1	3	2	2	4	2	4	3	1	2	4	5	3	0	2	0	2	2	2	2	3
MAPK13	mitogen-activated protein kinase 13	Homo sapiens	6	6p21.31	9	4	0	7	0	2	1	2	2	5	3	5	5	2	4	8	3	5	5	4	2	6	4	7	0	3	5	2	3	0	3
MAPK14	mitogen-activated protein kinase 14	Homo sapiens	6	6p21.3-p21.2	1	2	2	1	1	0	0	2	0	2	0	0	2	0	1	0	2	3	0	1	0	2	1	0	5	1	0	0	1	1	1
MAPK3	mitogen-activated protein kinase 3	Homo sapiens	16	16p11.2	3	6	3	5	2	3	2	1	3	2	0	6	1	3	4	3	3	8	5	3	6	5	1	1	2	2	2	3	4	5	2
MAPK8	mitogen-activated protein kinase 8	Homo sapiens	10	10q11.22	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0
MAPK9	mitogen-activated protein kinase 9	Homo sapiens	5	5q35	1	1	0	1	1	1	1	1	1	0	0	0	2	0	1	0	0	1	1	1	1	1	2	1	1	1	0	1	0	0	0
MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	Homo sapiens	1	1q32	0	2	1	0	1	1	1	1	0	1	0	0	2	1	0	0	1	1	1	2	0	1	2	0	1	0	0	0	0	0	1
MAPRE1	microtubule-associated protein, RP/EB family, member 1	Homo sapiens	20	20q11.1-q11.23	18	15	12	13	11	11	14	27	15	9	9	16	11	16	22	23	17	22	16	15	14	14	24	10	23	15	28	12	9	13	15
MAPRE2	microtubule-associated protein, RP/EB family, member 2	Homo sapiens	18	18q12.1	2	4	0	1	1	1	1	1	2	2	1	3	2	1	1	1	1	1	2	2	1	1	0	1	0	1	0	0	3	2	0
MTARC1	mitochondrial amidoxime reducing component 1	Homo sapiens	1	1q41	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTARC2	mitochondrial amidoxime reducing component 2	Homo sapiens	1	1q41	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0
MARCHF5	membrane-associated ring finger (C3HC4) 5	Homo sapiens	10	10q23.32-q23.33	1	3	0	1	2	2	2	3	2	1	1	2	1	2	2	2	1	4	2	2	3	1	3	2	0	0	2	0	0	3	2
MARCKS	myristoylated alanine-rich protein kinase C substrate	Homo sapiens	6	6q22.2	3	8	3	8	20	7	7	11	9	1	2	8	1	7	15	20	8	14	16	1	9	8	10	11	13	1	10	2	0	6	13
MARCKSL1	MARCKS-like 1	Homo sapiens	1	1p35.1	1	1	0	1	4	0	2	1	3	0	0	1	1	0	4	5	2	4	4	1	1	1	2	1	0	0	3	4	0	3	2
MARK2	MAP/microtubule affinity-regulating kinase 2	Homo sapiens	11	11q13.1	0	2	0	1	0	2	1	1	0	0	1	2	0	1	2	1	0	0	1	1	1	0	3	0	0	0	1	2	1	0	0
MARS1	methionyl-tRNA synthetase	Homo sapiens	12	12q13.3	22	20	10	22	16	25	15	18	28	12	15	22	15	15	30	29	16	21	32	13	10	17	11	16	10	15	26	18	15	16	19
MARS2	methionyl-tRNA synthetase 2, mitochondrial	Homo sapiens	2	2q33.1	7	2	2	2	0	3	2	3	1	3	2	2	4	0	3	6	0	3	4	3	0	1	6	3	0	2	6	3	0	1	1
MAT2A	methionine adenosyltransferase II, alpha	Homo sapiens	2	2p11.2	0	0	0	0	8	0	0	0	0	0	0	2	0	0	2	4	1	1	1	0	0	4	0	0	0	4	1	1	1	0	0
MAT2B	methionine adenosyltransferase II, beta	Homo sapiens	5	5q34-q35	3	4	6	3	7	5	4	4	3	4	9	7	5	6	4	8	6	5	4	4	7	7	6	3	3	6	4	10	6	5	6
MATN2	matrilin 2	Homo sapiens	8	8q22	0	1	0	0	3	0	3	0	6	1	2	0	0	0	2	1	0	1	1	1	4	2	2	0	3	0	0	2	0	0	4
MATR3	matrin 3	Homo sapiens	5	5q31.2	31	33	16	24	27	33	35	48	27	31	24	36	26	15	36	46	30	39	39	20	28	31	30	23	20	25	38	44	14	33	23
MAVS	mitochondrial antiviral signaling protein	Homo sapiens	20	20p13	5	13	2	9	8	10	13	7	5	9	6	8	5	5	23	30	12	9	11	6	6	6	17	8	2	4	11	7	2	12	6
CGAS	Mab-21 domain containing 1	Homo sapiens	6	6q13	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MBD2	methyl-CpG binding domain protein 2	Homo sapiens	18	18q21	2	2	0	1	0	1	2	0	1	1	1	0	1	1	2	3	1	1	3	0	0	1	2	0	0	1	2	5	1	0	0
MBD3	methyl-CpG binding domain protein 3	Homo sapiens	19	19p13.3	1	1	0	2	1	1	1	2	1	1	0	2	1	0	1	2	1	1	2	1	1	1	2	1	0	2	2	1	0	2	1
MBL2	mannose-binding lectin (protein C) 2, soluble	Homo sapiens	10	10q11.2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
MBNL1	muscleblind-like splicing regulator 1	Homo sapiens	3	3q25	2	7	1	4	6	5	3	4	2	3	2	3	1	4	3	6	2	4	6	3	5	4	6	2	4	2	5	3	0	3	3
MBOAT7	membrane bound O-acyltransferase domain containing 7	Homo sapiens	19	19q13.4	4	3	2	3	4	5	5	2	6	4	3	5	5	7	5	6	5	8	7	4	2	6	7	3	0	3	6	5	2	5	2
MCAM	melanoma cell adhesion molecule	Homo sapiens	11	11q23.3	2	8	2	9	0	2	7	6	5	3	2	2	0	4	8	3	2	2	2	2	9	3	5	1	34	2	5	0	2	2	12
MCAT	malonyl CoA:ACP acyltransferase (mitochondrial)	Homo sapiens	22	22q13.31	2	1	0	0	0	0	0	0	2	1	0	0	2	0	2	2	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0
MCCC1	methylcrotonoyl-CoA carboxylase 1 (alpha)	Homo sapiens	3	3q27	7	6	1	6	6	3	12	5	4	8	1	5	6	6	9	15	6	6	11	4	3	8	6	4	2	2	10	1	1	5	6
MCCC2	methylcrotonoyl-CoA carboxylase 2 (beta)	Homo sapiens	5	5q12-q13	13	23	3	17	19	25	32	23	18	11	5	19	9	15	35	39	15	15	29	13	18	16	28	10	2	14	31	20	3	34	13
MCEE	methylmalonyl CoA epimerase	Homo sapiens	2	2p13.3	0	2	1	0	0	1	1	2	2	1	0	1	0	1	2	2	1	0	1	0	2	2	1	1	1	0	1	0	0	1	0
MCF2L	MCF.2 cell line derived transforming sequence-like	Homo sapiens	13	13q34	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MCFD2	multiple coagulation factor deficiency 2	Homo sapiens	2	2p21	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MCM2	minichromosome maintenance complex component 2	Homo sapiens	3	3q21	8	17	5	14	5	7	10	11	12	3	6	12	4	6	13	15	7	11	7	7	4	6	6	11	0	8	10	12	7	14	6
MCM3	minichromosome maintenance complex component 3	Homo sapiens	6	6p12	10	16	3	10	3	12	15	17	15	6	10	11	7	2	14	19	13	15	11	9	4	7	6	13	1	8	11	19	7	12	13
MCM4	minichromosome maintenance complex component 4	Homo sapiens	8	8q11.2	9	13	3	7	9	13	15	12	10	6	5	16	3	6	10	14	10	14	7	10	5	9	6	13	0	17	12	18	7	13	9
MCM5	minichromosome maintenance complex component 5	Homo sapiens	22	22q13.1	12	14	1	10	5	11	13	10	11	6	8	15	6	6	14	8	6	6	6	12	7	5	9	8	1	9	7	12	8	14	7
MCM6	minichromosome maintenance complex component 6	Homo sapiens	2	2q21	6	14	3	9	11	8	13	7	12	5	7	11	4	4	10	13	8	11	6	8	3	7	3	11	0	11	10	12	8	9	7
MCM7	minichromosome maintenance complex component 7	Homo sapiens	7	7q21.3-q22.1	8	15	3	12	2	6	11	8	10	6	6	13	2	2	11	17	7	12	6	8	2	3	6	13	2	10	8	13	10	13	8
MCMBP	minichromosome maintenance complex binding protein	Homo sapiens	10	10q26.11	0	1	0	2	1	0	1	1	2	1	1	1	0	2	2	4	1	1	2	0	0	0	1	1	1	0	4	1	0	0	1
MCTP2	multiple C2 domains, transmembrane 2	Homo sapiens	15	15q26.2	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1
MCTS1	malignant T cell amplified sequence 1	Homo sapiens	X	Xq24	1	9	4	4	7	4	6	5	10	4	1	6	0	7	11	12	2	6	9	3	6	7	9	1	4	4	6	3	0	0	3
MCU	mitochondrial calcium uniporter	Homo sapiens	10	10q22.1	4	3	2	4	3	3	3	2	10	7	5	6	6	3	5	5	9	11	4	5	4	5	2	4	2	17	5	12	5	3	3
MDC1	mediator of DNA-damage checkpoint 1	Homo sapiens	6	6p21.3	0	1	0	3	1	2	1	1	1	1	3	0	1	1	2	1	1	1	0	1	0	1	3	1	1	4	4	1	3	1	2
MDH1	malate dehydrogenase 1, NAD (soluble)	Homo sapiens	2	2p13.3	18	42	31	41	37	39	60	59	56	34	38	49	33	53	49	44	36	40	48	28	44	36	44	36	85	23	42	34	16	37	37
MDH2	malate dehydrogenase 2, NAD (mitochondrial)	Homo sapiens	7	7cen-q22	122	93	89	214	80	89	241	214	160	86	76	116	94	71	244	297	104	147	269	125	107	142	261	85	59	107	224	108	58	120	90
MDK	midkine (neurite growth-promoting factor 2)	Homo sapiens	11	11p11.2	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
MDN1	MDN1, midasin homolog (yeast)	Homo sapiens	6	6q15	0	1	1	1	0	1	0	2	2	2	0	1	1	0	0	3	0	0	5	1	0	0	3	1	1	1	0	3	0	0	1
ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	Homo sapiens	6	6q12	1	2	0	5	0	3	2	0	13	2	8	1	0	1	2	7	2	4	2	1	4	4	0	1	3	8	0	7	3	0	1
ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial	Homo sapiens	18	18q21	8	14	4	6	2	12	7	10	14	9	11	9	4	9	12	16	8	9	13	7	11	8	17	9	6	2	24	9	2	3	7
ME3	malic enzyme 3, NADP(+)-dependent, mitochondrial	Homo sapiens	11	11cen-q22.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MECP2	methyl CpG binding protein 2 (Rett syndrome)	Homo sapiens	X	Xq28	2	7	1	4	3	1	3	3	4	5	1	1	4	3	0	3	2	5	2	3	5	2	10	3	6	0	4	2	0	2	2
MECR	mitochondrial trans-2-enoyl-CoA reductase	Homo sapiens	1	1p35.3	1	2	0	0	1	1	0	1	1	5	0	0	2	1	1	1	2	3	1	4	0	1	2	1	0	0	3	1	0	1	1
MED1	mediator complex subunit 1	Homo sapiens	17	17q12	0	1	1	1	0	0	1	0	2	1	1	2	1	1	2	1	2	1	1	1	1	0	2	1	0	1	2	2	1	0	1
MED17	mediator complex subunit 17	Homo sapiens	11	11q14	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
MED20	mediator complex subunit 20	Homo sapiens	6	6p21.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0
MED23	mediator complex subunit 23	Homo sapiens	6	6q22.33-q24.1	0	1	0	0	0	0	1	0	1	1	0	0	3	0	3	1	0	0	0	2	0	0	1	0	0	0	1	4	1	0	0
MED24	mediator complex subunit 24	Homo sapiens	17	17q21.1	1	1	0	0	0	0	2	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	2	0	1	0	1	1	0	0	0
MED27	mediator complex subunit 27	Homo sapiens	9	9q34.13	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	2	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0
MEMO1	mediator of cell motility 1	Homo sapiens	2	2p22-p21	0	3	0	0	2	2	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	1	2	0	0	1	1
MEP1A	meprin A, alpha (PABA peptide hydrolase)	Homo sapiens	6	6p12-p11	5	0	0	0	0	0	4	1	1	0	0	4	3	0	4	4	0	0	3	2	0	2	1	3	0	2	0	0	1	1	0
MEPCE	methylphosphate capping enzyme	Homo sapiens	7	7q22.1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MESD	mesoderm development candidate 2	Homo sapiens	15	15q13	0	2	1	1	4	1	0	0	2	0	1	2	2	2	2	4	3	3	4	2	0	1	2	2	2	1	2	3	0	1	1
MEST	mesoderm specific transcript	Homo sapiens	7	7q32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MET	met proto-oncogene	Homo sapiens	7	7q31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0
METAP1	methionyl aminopeptidase 1	Homo sapiens	4	4q23	1	2	1	4	4	5	3	5	2	2	2	2	3	2	3	4	0	6	4	1	3	3	4	1	1	0	9	1	1	2	1
METAP2	methionyl aminopeptidase 2	Homo sapiens	12	12q22	1	0	0	1	7	0	0	0	1	0	1	1	2	2	4	7	4	1	2	2	1	2	1	2	0	3	7	3	0	1	2
METTL1	methyltransferase like 1	Homo sapiens	12	12q13	2	1	1	1	0	3	1	2	2	0	1	1	0	0	2	3	3	3	1	0	1	2	2	0	0	0	2	0	0	1	1
EEF1AKNMT	methyltransferase like 13	Homo sapiens	1	1q24-q25.3	2	3	0	0	0	2	2	2	2	0	1	0	1	0	2	2	0	1	3	0	0	0	1	1	0	1	4	0	0	2	0
METTL15	methyltransferase like 15	Homo sapiens	11	11p14.1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
METTL16	methyltransferase like 16	Homo sapiens	17	17p13.3	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1
METTL3	methyltransferase like 3	Homo sapiens	14	14q11.1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	3	0	0	0
METTL7A	methyltransferase like 7A	Homo sapiens	12	12q13.12	1	4	2	2	5	6	8	6	9	8	3	12	7	12	8	9	4	4	10	4	11	9	4	7	7	2	3	4	3	2	7
METTL7B	methyltransferase like 7B	Homo sapiens	12	12q13.2	0	1	0	3	0	3	2	0	2	0	0	0	0	1	3	1	0	0	0	0	0	3	0	1	0	1	1	0	0	0	0
MFAP2	microfibrillar-associated protein 2	Homo sapiens	1	1p36.1-p35	0	4	1	17	15	1	1	3	2	1	0	1	1	5	2	2	1	0	5	2	4	3	4	1	0	0	2	0	0	1	10
MFAP4	microfibrillar-associated protein 4	Homo sapiens	17	17p11.2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	1	0	1	0	0	0	0	0	2
MFAP5	microfibrillar associated protein 5	Homo sapiens	12	12p13.1-p12.3	0	2	2	2	4	0	1	0	2	4	0	1	1	1	1	1	1	0	0	0	7	5	0	1	7	0	1	0	1	0	5
MFF	mitochondrial fission factor	Homo sapiens	2	2q36.3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
